conceptId	en	ru	aliases
FMA9577	abdomen	Живот	брюшная область
FMA61680	abdomen proper	Собственно живот	
FMA3789	abdominal aorta	Брюшная аорта	
FMA45875	abdominal part of left pectoralis major	Брюшная часть левой большой грудной мышцы	
FMA34699	abdominal part of pectoralis major	Брюшная часть большой грудной мышцы	
FMA45874	abdominal part of right pectoralis major	Брюшная часть правой большой грудной мышцы	
FMA259211	abdominal segment of trunk	Брюшной сегмент туловища	
FMA37451	abductor digiti minimi of foot	Мышца, отводящая мизинец стопы	
FMA37382	abductor digiti minimi of hand	Мышца, отводящая мизинец кисти	
FMA37464	abductor digiti minimi of left foot	Левая мышца, отводящая мизинец стопы	
FMA37397	abductor digiti minimi of left hand	Левая мышца, отводящая мизинец кисти	
FMA37463	abductor digiti minimi of right foot	Правая мышца, отводящая мизинец стопы	
FMA37396	abductor digiti minimi of right hand	Правая мышца, отводящая мизинец кисти	
FMA37448	abductor hallucis	Мышца, отводящая большой палец стопы	
FMA37373	abductor pollicis brevis	Короткая мышца, отводящая большой палец кисти	
FMA38515	abductor pollicis longus	Длинная мышца, отводящая большой палец кисти	
FMA5011	accessory hemiazygos vein	Добавочная полунепарная вена	
FMA68734	accessory subsuperior branch of posterior basal segmental artery	Добавочная подсупериорная ветвь задней базальной сегментарной артерии	
FMA68735	accessory subsuperior branch of right posterior basal segmental artery	Добавочная подсупериорная ветвь правой задней базальной сегментарной артерии	
FMA23069	acromial branch of left thoraco-acromial artery	Акромиальная ветвь левой грудоакромиальной артерии	
FMA23068	acromial branch of right thoraco-acromial artery	Акромиальная ветвь правой грудоакромиальной артерии	
FMA23065	acromial branch of thoraco-acromial artery	Акромиальная ветвь грудоакромиальной артерии	
FMA34678	acromial part of deltoid	Акромиальная часть дельтовидной мышцы	
FMA34683	acromial part of left deltoid	Акромиальная часть левой дельтовидной мышцы	
FMA34682	acromial part of right deltoid	Акромиальная часть правой дельтовидной мышцы	
FMA22442	adductor brevis	Короткая приводящая мышца	
FMA22441	adductor longus	Длинная приводящая мышца	
FMA22443	adductor magnus	Большая приводящая мышца	
FMA43885	adductor minimus	Малая приводящая мышца	
FMA7152	alimentary system	Пищеварительная система	желудочно-кишечная система
FMA61841	amygdala	Миндалевидное тело	амигдала
FMA20347	anal part of perineum	Анальная часть промежности	
FMA3726	anastomosis	Анастомоз	
FMA50705	anatomical boundary entity	Анатомическая граничная сущность	
FMA49443	anatomical cluster	Анатомический кластер	анатомическая группа
FMA84926	anatomical compartment space	Пространство анатомического компартмента	
FMA62955	anatomical entity	Анатомическая сущность	
FMA5898	anatomical junction	Анатомическое соединение	
FMA9657	anatomical line	Анатомическая линия	
FMA55652	anatomical set	Анатомическое множество	
FMA67135	anatomical structure	Анатомическая структура	
FMA37704	anconeus	Локтевая мышца	анконей
FMA61898	angular gyrus	Угловая извилина	
FMA14627	anterior abdominal wall	Передняя брюшная стенка	
FMA8717	anterior basal segmental artery	Передняя базальная сегментарная артерия	
FMA68219	anterior basal segmental bronchial tree	Переднее базальное сегментарное бронхиальное дерево	
FMA13290	anterior basal segmental vein	Передняя базальная сегментарная вена	
FMA13914	anterior branch of anterior interventricular branch of left coronary artery	Передняя ветвь передней межжелудочковой ветви левой коронарной артерии	
FMA68682	anterior branch of anterior segmental artery	Передняя ветвь передней сегментарной артерии	
FMA68691	anterior branch of lateral segmental artery	Передняя ветвь латеральной сегментарной артерии	
FMA68683	anterior branch of right anterior segmental artery	Передняя ветвь правой передней сегментарной артерии	
FMA15419	anterior branch of right portal vein	Передняя ветвь правой воротной вены	
FMA76767	anterior cardiac vein	Передняя сердечная вена	
FMA4717	anterior cardiac venous tree	Переднее сердечное венозное дерево	
FMA14816	anterior cecal artery	Передняя слепокишечная артерия	
FMA50028	anterior cerebral artery	Передняя мозговая артерия	
FMA58078	anterior chamber of eyeball	Передняя камера глазного яблока	
FMA58082	anterior chamber of left eyeball	Передняя камера левого глазного яблока	
FMA58081	anterior chamber of right eyeball	Передняя камера правого глазного яблока	
FMA24816	anterior chest	Передняя область грудной клетки	
FMA87543	anterior chest wall	Передняя стенка грудной клетки	
FMA50087	anterior choroidal artery	Передняя ворсинчатая артерия	передняя хориоидальная артерия
FMA22680	anterior circumflex humeral artery	Передняя артерия, огибающая плечевую кость	
FMA77499	anterior circumflex humeral vein	Передняя вена, огибающая плечевую кость	
FMA61961	anterior commissure	Передняя спайка	
FMA50169	anterior communicating artery	Передняя соединительная артерия	
FMA70487	anterior division of left renal artery	Передняя ветвь левой почечной артерии	
FMA70485	anterior division of renal artery	Передняя ветвь почечной артерии	
FMA70486	anterior division of right renal artery	Передняя ветвь правой почечной артерии	
FMA52675	anterior ethmoidal nerve	Передний решётчатый нерв	
FMA50544	anterior inferior cerebellar artery	Передняя нижняя мозжечковая артерия	ПНМА
FMA70479	anterior inferior pancreaticoduodenal artery	Передняя нижняя панкреатодуоденальная артерия	
FMA15421	anterior inferior segmental branch of right portal vein	Передняя нижняя сегментарная ветвь правой воротной вены	
FMA70443	anterior inferior segmental hepatic artery	Передняя нижняя сегментарная печёночная артерия	
FMA15800	anterior inferior segmental tributary of middle hepatic vein	Передний нижний сегментарный приток средней печёночной вены	
FMA71868	anterior inferior tributary of right hepatic biliary tree	Передний нижний приток правого печёночного желчного дерева	
FMA22810	anterior interosseous artery	Передняя межкостная артерия	
FMA3862	anterior interventricular branch of left coronary artery	Передняя межжелудочковая ветвь левой коронарной артерии	передняя нисходящая артерия|LAD
FMA66403	anterior interventricular vein	Передняя межжелудочковая вена	
FMA7260	anterior papillary muscle of right ventricle	Передняя сосочковая мышца правого желудочка	
FMA50485	anterior parietal artery	Передняя теменная артерия	
FMA68664	anterior part of apical segmental artery	Передняя часть верхушечной сегментарной артерии	
FMA68920	anterior part of apical segmental vein	Передняя часть верхушечной сегментарной вены	
FMA68945	anterior part of lateral segmental vein	Передняя часть латеральной сегментарной вены	
FMA73056	anterior part of left knee	Передняя часть левого колена	
FMA72801	anterior part of left superior temporal gyrus	Передняя часть левой верхней височной извилины	
FMA68665	anterior part of right apical segmental artery	Передняя часть правой верхушечной сегментарной артерии	
FMA68921	anterior part of right apical segmental vein	Передняя часть правой верхушечной сегментарной вены	
FMA73055	anterior part of right knee	Передняя часть правого колена	
FMA72800	anterior part of right superior temporal gyrus	Передняя часть правой верхней височной извилины	
FMA70701	anterior part of superior temporal gyrus	Передняя часть верхней височной извилины	
FMA15750	anterior sector of left liver	Передний сектор левой доли печени	
FMA15748	anterior sector of right liver	Передний сектор правой доли печени	
FMA13278	anterior segmental artery	Передняя сегментарная артерия	
FMA68235	anterior segmental bronchial tree	Переднее сегментарное бронхиальное дерево	
FMA70441	anterior segmental hepatic artery	Передняя сегментарная печёночная артерия	
FMA13442	anterior segmental vein	Передняя сегментарная вена	
FMA50531	anterior spinal artery	Передняя спинномозговая артерия	
FMA64875	anterior suboccipital muscle	Передняя подзатылочная мышца	
FMA50063	anterior superficial chest wall	Передняя поверхностная стенка грудной клетки	
FMA14782	anterior superior pancreaticoduodenal artery	Передняя верхняя панкреатодуоденальная артерия	
FMA15420	anterior superior segmental branch of right portal vein	Передняя верхняя сегментарная ветвь правой воротной вены	
FMA70442	anterior superior segmental hepatic artery	Передняя верхняя сегментарная печёночная артерия	
FMA15798	anterior superior segmental tributary of right hepatic vein	Передний верхний сегментарный приток правой печёночной вены	
FMA71867	anterior superior tributary of right hepatic biliary tree	Передний верхний приток правого печёночного желчного дерева	
FMA50382	anterior temporal artery	Передняя височная артерия	
FMA50648	anterior temporal branch of lateral occipital artery	Передняя височная ветвь латеральной затылочной артерии	
FMA50679	anterior temporal branch of left lateral occipital artery	Передняя височная ветвь левой латеральной затылочной артерии	
FMA50678	anterior temporal branch of right lateral occipital artery	Передняя височная ветвь правой латеральной затылочной артерии	
FMA87542	anterior thoracic wall	Передняя стенка грудной клетки	
FMA43894	anterior tibial artery	Передняя большеберцовая артерия	
FMA43902	anterior tibial recurrent artery	Передняя возвратная большеберцовая артерия	
FMA44331	anterior tibial vein	Передняя большеберцовая вена	
FMA71861	anterior tributary of right hepatic biliary tree	Передний приток правого печёночного желчного дерева	
FMA22800	anterior ulnar recurrent artery	Передняя возвратная локтевая артерия	
FMA3813	anterior ventricular branch of right coronary artery	Передняя желудочковая ветвь правой коронарной артерии	
FMA9560	anterior wall of left ventricle	Передняя стенка левого желудочка	
FMA9553	anterior wall of right ventricle	Передняя стенка правого желудочка	
FMA68843	antero-medial basal segmental artery	Переднемедиальная базальная сегментарная артерия	
FMA50378	anterolateral central branch of left middle cerebral artery	Переднелатеральная центральная ветвь левой средней мозговой артерии	
FMA50376	anterolateral central branch of middle cerebral artery	Переднелатеральная центральная ветвь средней мозговой артерии	
FMA50377	anterolateral central branch of right middle cerebral artery	Переднелатеральная центральная ветвь правой средней мозговой артерии	
FMA7265	anterolateral head of lateral papillary muscle of left ventricle	Переднелатеральная головка латеральной сосочковой мышцы левого желудочка	
FMA3734	aorta	Аорта	
FMA68661	apical part of apical segmental artery	Верхушечная часть верхушечной сегментарной артерии	
FMA68919	apical part of apical segmental vein	Верхушечная часть верхушечной сегментарной вены	
FMA68669	apical part of posterior segmental artery	Верхушечная часть задней сегментарной артерии	
FMA68662	apical part of right apical segmental artery	Верхушечная часть правой верхушечной сегментарной артерии	
FMA8681	apical part of right apical segmental vein	Верхушечная часть правой верхушечной сегментарной вены	
FMA68670	apical part of right posterior segmental artery	Верхушечная часть правой задней сегментарной артерии	
FMA8707	apical segmental artery	Верхушечная сегментарная артерия	
FMA68234	apical segmental bronchial tree	Верхушечное сегментарное бронхиальное дерево	
FMA13444	apical segmental vein	Верхушечная сегментарная вена	
FMA7372	apicoposterior bronchopulmonary segment	Верхушечно-задний бронхолёгочный сегмент	
FMA68659	apicoposterior division of right upper lobar artery	Верхушечно-задняя ветвь правой верхнедолевой артерии	
FMA8666	apicoposterior segmental vein	Верхушечно-задняя сегментарная вена	
