conceptId	en	ru	aliases
FMA50476	branch of right middle cerebral artery to right angular gyrus		
FMA85110	branch of second common palmar digital artery		
FMA79631	branch of sphenoid part of middle cerebral artery		
FMA22845	branch of superficial palmar arterial arch		
FMA50576	branch of superior cerebellar artery		
FMA85117	branch of third common palmar digital artery		
FMA52607	branch of trigeminal nerve		
FMA22799	branch of ulnar artery		
FMA76259	branch of vertebral artery		
FMA68109	bronchial artery		
FMA14177	bronchial branch of arch of aorta		
FMA7409	bronchus		
FMA51061	calcaneal tendon		
FMA24496	calcaneus		
FMA50330	callosomarginal artery		
FMA55636	canine tooth		
FMA23727	capitate		
FMA62466	capsule of cerebral hemisphere		
FMA12846	cardiac vein		
FMA82472	cardinal organ part		
FMA61815	cardinal segment of brain		
FMA67536	cardinal tissue part		
FMA7161	cardiovascular system		
FMA23889	carpal bone		
FMA55107	cartilage organ		
FMA7538	cartilage organ component		
FMA59838	cartilaginous part of nasal septum		
FMA59836	cartilaginous skeleton of external nose		
FMA59538	cartilaginous skeleton of nose		
FMA14793	caudal pancreatic artery		
FMA70455	caudate lobe branch of left hepatic artery		
FMA15425	caudate lobe branch of left portal vein		
FMA70447	caudate lobe branch of right hepatic artery		
FMA82706	caudate lobe branch of right portal vein		
FMA13365	caudate lobe of liver		
FMA71889	caudate lobe tributary of left hepatic biliary tree		
FMA61833	caudate nucleus		
FMA55671	cavitated organ		
FMA75007	cavity of neuraxis		
FMA14541	cecum		
FMA50737	celiac artery		
FMA14812	celiac trunk		
FMA83115	cell part cluster		
FMA83143	cell part cluster of neuraxis		
FMA78497	central canal of spinal cord		
FMA13324	cephalic vein		
FMA67944	cerebellum		
FMA78467	cerebral aqueduct		
FMA50454	cerebral arterial circle		
FMA241998	cerebral white matter		
FMA23082	cervical rotator		
FMA9915	cervical vertebra		
FMA24138	cervical vertebral column		
FMA58071	chamber of eyeball		
FMA49143	check ligament of lateral rectus		
FMA49145	check ligament of left lateral rectus		
FMA49148	check ligament of left medial rectus		
FMA49146	check ligament of medial rectus		
FMA49144	check ligament of right lateral rectus		
FMA49147	check ligament of right medial rectus		
FMA50060	chest wall		
FMA58298	choroid		
FMA61934	choroid plexus of cerebral hemisphere		
FMA6964	ciliary ganglion		
FMA62434	cingulate gyrus		
FMA3895	circumflex branch of left coronary artery		
FMA23179	circumflex scapular artery		
FMA77498	circumflex scapular vein		
FMA13321	clavicle		
FMA34677	clavicular part of deltoid		
FMA34681	clavicular part of left deltoid		
FMA34691	clavicular part of left pectoralis major		
FMA34687	clavicular part of pectoralis major		
FMA34680	clavicular part of right deltoid		
FMA34690	clavicular part of right pectoralis major		
FMA19088	coccygeus		
FMA62445	commissure of diencephalon		
FMA61970	commissure of fornix of forebrain		
FMA83906	commissure of neuraxis		
FMA3939	common carotid artery		
FMA14771	common hepatic artery		
FMA14668	common hepatic duct		
FMA14764	common iliac artery		
FMA14333	common iliac vein		
