conceptId	en	current_ru	problem_type	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	Правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая передняя ветвь передней межжелудочковой ветви левой коронарной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	Первая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Первая правая передняя ветвь передней межжелудочковой ветви левой коронарной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery	Вторая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Вторая правая передняя ветвь передней межжелудочковой ветви левой коронарной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	Третья правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Третья правая передняя ветвь передней межжелудочковой ветви левой коронарной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA8531	right eleventh rib	Правый одиннадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правое одиннадцатое ребро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA8532	left eleventh rib	Левый одиннадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левое одиннадцатое ребро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA8533	right twelfth rib	Правый двенадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правое двенадцатое ребро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA8534	left twelfth rib	Левый двенадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левое двенадцатое ребро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22835	right superficial palmar arterial arch	Правый поверхностная ладонная артериальная дуга	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая поверхностная ладонная артериальная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22837	left superficial palmar arterial arch	Левый поверхностная ладонная артериальная дуга	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая поверхностная ладонная артериальная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
