conceptId	en	current_ru	problem_type	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA25058	intervertebral disk of axis	Межпозвоночное диск атлантоаксиальное	MORPHOLOGY|AGREEMENT	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA42603	organ component cluster	Орган компонент клустэр	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA55680	right upper lateral secondary incisor tooth	Правый верхняя латеральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний латеральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55681	right upper central secondary incisor tooth	Правый верхняя центральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний центральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55682	left upper central secondary incisor tooth	Левый верхняя центральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний центральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55683	left upper lateral secondary incisor tooth	Левый верхняя латеральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний латеральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55686	right lower secondary canine tooth	Правый нижняя вторичная клык зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний постоянный клык	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55687	left lower secondary canine tooth	Левый нижняя вторичная клык зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний постоянный клык	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55688	right upper second secondary premolar tooth	Правый верхняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний второй постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55689	right upper first secondary premolar tooth	Правый верхняя первая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний первый постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55690	left upper first secondary premolar tooth	Левый верхняя первая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний первый постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55691	left upper second secondary premolar tooth	Левый верхняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний второй постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55692	left lower second secondary premolar tooth	Левый нижняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний второй постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55693	left lower first secondary premolar tooth	Левый нижняя первая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний первый постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55694	right lower first secondary premolar tooth	Правый нижняя первая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний первый постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55695	right lower second secondary premolar tooth	Правый нижняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний второй постоянный премоляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55697	right upper second secondary molar tooth	Правый верхняя вторая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний второй постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55698	right upper first secondary molar tooth	Правый верхняя первая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний первый постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
