conceptId	en	current_ru	problem_type	decision	confidence	final_ru	reason
FMA25058	intervertebral disk of axis	Межпозвоночное диск атлантоаксиальное	MORPHOLOGY|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA42603	organ component cluster	Орган компонент клустэр	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55680	right upper lateral secondary incisor tooth	Правый верхняя латеральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55681	right upper central secondary incisor tooth	Правый верхняя центральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55682	left upper central secondary incisor tooth	Левый верхняя центральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55683	left upper lateral secondary incisor tooth	Левый верхняя латеральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55686	right lower secondary canine tooth	Правый нижняя вторичная клык зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55687	left lower secondary canine tooth	Левый нижняя вторичная клык зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55688	right upper second secondary premolar tooth	Правый верхняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55689	right upper first secondary premolar tooth	Правый верхняя первая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55690	left upper first secondary premolar tooth	Левый верхняя первая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55691	left upper second secondary premolar tooth	Левый верхняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55692	left lower second secondary premolar tooth	Левый нижняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55693	left lower first secondary premolar tooth	Левый нижняя первая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55694	right lower first secondary premolar tooth	Правый нижняя первая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55695	right lower second secondary premolar tooth	Правый нижняя вторая вторичная премоляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
