conceptId	en	current_ru	status	suggested_ru	reason	source_basis
FMA3710	vascular tree	Сосудистое дерево	OK	Сосудистое дерево	checked: no structural quality flags	FMA; pattern consistency
FMA3711	segment of artery	Сегмент артерия	FIX	сегмент артерии	grammar; lost_information	FMA; pattern consistency
FMA3714	variant artery	Вариантная артерия	OK	Вариантная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA3726	anastomosis	Анастомоз	OK	Анастомоз	checked: no structural quality flags	FMA; pattern consistency
FMA3727	vascular anastomosis	Сосудистое анастомоз	FIX	сосудистый анастомоз	grammar	FMA; pattern consistency
FMA3728	arterial anastomosis	Артериальный анастомоз	OK	Артериальный анастомоз	checked: no structural quality flags	FMA; pattern consistency
FMA3729	venous anastomosis	Венозная анастомоз	FIX	венозный анастомоз	grammar	FMA; pattern consistency
FMA3736	ascending aorta	Восходящая аорта	OK	Восходящая аорта	checked: no structural quality flags	FMA; pattern consistency
FMA3768	arch of aorta	Дуга аорты	OK	Дуга аорты	checked: no structural quality flags	FMA; pattern consistency
FMA3784	descending aorta	Нисходящая аорта	OK	Нисходящая аорта	checked: no structural quality flags	FMA; pattern consistency
FMA3789	abdominal aorta	Брюшная аорта	OK	Брюшная аорта	checked: no structural quality flags	FMA; pattern consistency
FMA3802	trunk of right coronary artery	Туловище правый коронарная артерия	FIX	Туловище Правое коронарная артерия	laterality	FMA; pattern consistency
FMA3807	right conus artery	Правый конус артерия	FIX	Правая конус артерия	laterality; lost_information	FMA; pattern consistency
FMA3813	anterior ventricular branch of right coronary artery	Передняя желудочковая ветвь правой коронарной артерии	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA3815	first anterior ventricular branch of right coronary artery	Первая передняя желудочковая ветвь правый коронарная артерия	FIX	Первая передняя желудочковая ветвь Правая коронарная артерия	laterality	FMA; pattern consistency
FMA3818	marginal branch of right coronary artery	Краевая ветвь правый коронарная артерия	FIX	Краевая ветвь Правая коронарная артерия	laterality	FMA; pattern consistency
FMA3835	posterior ventricular branch of right coronary artery	Задняя желудочковая ветвь правый коронарная артерия	FIX	Задняя желудочковая ветвь Правая коронарная артерия	laterality	FMA; pattern consistency
FMA3837	first posterior ventricular branch of right coronary artery	Первая задняя желудочковая ветвь правый коронарная артерия	FIX	Первая задняя желудочковая ветвь Правая коронарная артерия	laterality	FMA; pattern consistency
FMA3840	posterior interventricular branch of right coronary artery	Задняя межжелудочковая ветвь правый коронарная артерия	FIX	Задняя межжелудочковая ветвь Правая коронарная артерия	laterality	FMA; pattern consistency
FMA3845	septal branch of right posterior interventricular artery	Перегородочная ветвь правый задняя межжелудочковая артерия	FIX	Перегородочная ветвь Правая задняя межжелудочковая артерия	laterality	FMA; pattern consistency
FMA3847	first septal branch of right posterior interventricular artery	Первая перегородочная ветвь правый задняя межжелудочковая артерия	FIX	Первая перегородочная ветвь Правая задняя межжелудочковая артерия	laterality	FMA; pattern consistency
FMA3848	second septal branch of right posterior interventricular artery	Вторая перегородочная ветвь правый задняя межжелудочковая артерия	FIX	Вторая перегородочная ветвь Правая задняя межжелудочковая артерия	laterality	FMA; pattern consistency
FMA3855	trunk of left coronary artery	Туловище левый коронарная артерия	FIX	Туловище Левое коронарная артерия	laterality	FMA; pattern consistency
FMA3860	diagonal branch of anterior descending branch of left coronary artery	Диагональная ветвь передняя нисходящая ветвь левый коронарная артерия	FIX	Диагональная ветвь передняя нисходящая ветвь Левая коронарная артерия	laterality	FMA; pattern consistency
FMA3868	conus branch of anterior interventricular branch of left coronary artery	Конус ветвь передняя межжелудочковая ветвь левый коронарная артерия	FIX	Конус ветвь передняя межжелудочковая ветвь Левая коронарная артерия	laterality	FMA; pattern consistency
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	Правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	FIX	Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	laterality; lost_information	FMA; pattern consistency
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	Первая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	FIX	Первая Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	laterality	FMA; pattern consistency
