conceptId	en	current_ru	category	why_uncertain	recommended_check_source	search_query
FMA15755	region of anterior sector of right liver (in-vivo)	Область передняя сектор правый печень (ин-виво)	FMA_aggregate	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	FMA / Foundational Model of Anatomy	FMA region of anterior sector of right liver (in-vivo) русский анатомический термин
FMA15756	region of posterior sector of right liver (in-vivo)	Область задняя сектор правый печень (ин-виво)	FMA_aggregate	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	FMA / Foundational Model of Anatomy	FMA region of posterior sector of right liver (in-vivo) русский анатомический термин
FMA15757	region of anterior sector of left liver (in-vivo)	Область передняя сектор левый печень (ин-виво)	FMA_aggregate	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	FMA / Foundational Model of Anatomy	FMA region of anterior sector of left liver (in-vivo) русский анатомический термин
FMA22858	lateral proper palmar digital artery of right middle finger	Латеральная собственно ладонная дигитал артерия правый средняя палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"lateral proper palmar digital artery of right middle finger" русское анатомическое название артерия вена ветвь
FMA22860	lateral proper palmar digital artery of left middle finger	Латеральная собственно ладонная дигитал артерия левый средняя палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"lateral proper palmar digital artery of left middle finger" русское анатомическое название артерия вена ветвь
FMA23050	medial proper palmar digital artery of right index finger	Медиальная собственно ладонная дигитал артерия правый индэкс палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"medial proper palmar digital artery of right index finger" русское анатомическое название артерия вена ветвь
FMA23051	medial proper palmar digital artery of left index finger	Медиальная собственно ладонная дигитал артерия левый индэкс палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"medial proper palmar digital artery of left index finger" русское анатомическое название артерия вена ветвь
FMA23052	medial proper palmar digital artery of right ring finger	Медиальная собственно ладонная дигитал артерия правый кольцо палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"medial proper palmar digital artery of right ring finger" русское анатомическое название артерия вена ветвь
FMA23054	lateral proper palmar digital artery of right little finger	Латеральная собственно ладонная дигитал артерия правый литтлэ палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"lateral proper palmar digital artery of right little finger" русское анатомическое название артерия вена ветвь
FMA23055	lateral proper palmar digital artery of left little finger	Латеральная собственно ладонная дигитал артерия левый литтлэ палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"lateral proper palmar digital artery of left little finger" русское анатомическое название артерия вена ветвь
FMA23062	pectoral branch of thoraco-acromial artery	Плечевой ветвь торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"pectoral branch of thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA23063	pectoral branch of right thoraco-acromial artery	Плечевой ветвь правый торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"pectoral branch of right thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA23064	pectoral branch of left thoraco-acromial artery	Плечевой ветвь левый торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"pectoral branch of left thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA23067	deltoid branch of thoraco-acromial artery	Дельтовидная мышца ветвь торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"deltoid branch of thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA23072	deltoid branch of right thoraco-acromial artery	Дельтовидная мышца ветвь правый торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"deltoid branch of right thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA23073	deltoid branch of left thoraco-acromial artery	Дельтовидная мышца ветвь левый торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"deltoid branch of left thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA23124	middle collateral branch of right deep brachial artery	Средняя коллатэрал ветвь правый глубокая плечевая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"middle collateral branch of right deep brachial artery" русское анатомическое название артерия вена ветвь
FMA23125	middle collateral branch of left deep brachial artery	Средняя коллатэрал ветвь левый глубокая плечевая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"middle collateral branch of left deep brachial artery" русское анатомическое название артерия вена ветвь
FMA23126	radial collateral branch of right deep brachial artery	Лучевая коллатэрал ветвь правый глубокая плечевая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"radial collateral branch of right deep brachial artery" русское анатомическое название артерия вена ветвь
FMA23127	radial collateral branch of left deep brachial artery	Лучевая коллатэрал ветвь левый глубокая плечевая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"radial collateral branch of left deep brachial artery" русское анатомическое название артерия вена ветвь
FMA32520	intrinsic muscle of shoulder	Интринсик мышца плечо	terminology	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"intrinsic muscle of shoulder" нормативный русский анатомический термин
FMA42380	intrinsic muscle of hand	Интринсик мышца кисть	terminology	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"intrinsic muscle of hand" нормативный русский анатомический термин
FMA42398	set of lumbricals of right hand	Совокупность лумбрикалс правый кисть	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA set of lumbricals of right hand русский анатомический термин
FMA42399	set of lumbricals of left hand	Совокупность лумбрикалс левый кисть	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA set of lumbricals of left hand русский анатомический термин
FMA50476	branch of right middle cerebral artery to right angular gyrus	Ветвь правый средняя мозговая артерия к правый ангулар извилина	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"branch of right middle cerebral artery to right angular gyrus" русская нейроанатомическая терминология
FMA50695	superior vermian branch of medial branch of superior cerebellar artery	Верхняя вэрмиан ветвь медиальная ветвь верхняя мозжечковая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"superior vermian branch of medial branch of superior cerebellar artery" русское анатомическое название артерия вена ветвь
FMA50696	superior vermian branch of medial branch of right superior cerebellar artery	Верхняя вэрмиан ветвь медиальная ветвь правый верхняя мозжечковая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"superior vermian branch of medial branch of right superior cerebellar artery" русское анатомическое название артерия вена ветвь
FMA50697	superior vermian branch of medial branch of left superior cerebellar artery	Верхняя вэрмиан ветвь медиальная ветвь левый верхняя мозжечковая артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"superior vermian branch of medial branch of left superior cerebellar artery" русское анатомическое название артерия вена ветвь
FMA52673	communicating branch of right nasociliary nerve with right ciliary ganglion	Соединительная ветвь правый насокилиарй нерв вит правый ресничная ганглий	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"communicating branch of right nasociliary nerve with right ciliary ganglion" русская нейроанатомическая терминология
FMA52674	communicating branch of left nasociliary nerve with left ciliary ganglion	Соединительная ветвь левый насокилиарй нерв вит левый ресничная ганглий	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"communicating branch of left nasociliary nerve with left ciliary ganglion" русская нейроанатомическая терминология
FMA55226	intrinsic muscle of larynx	Интринсик мышца гортань	terminology	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"intrinsic muscle of larynx" нормативный русский анатомический термин
FMA57965	zone of investing fascia	Зона инвэстинг фасция	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA zone of investing fascia русский анатомический термин
FMA58420	zone of investing fascia of free lower limb	Зона инвэстинг фасция свободная нижняя конечность	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA zone of investing fascia of free lower limb русский анатомический термин
FMA58421	zone of investing fascia of lower limb	Зона инвэстинг фасция нижняя конечность	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA zone of investing fascia of lower limb русский анатомический термин
FMA58741	zone of investing fascia of thigh	Зона инвэстинг фасция бедро	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA zone of investing fascia of thigh русский анатомический термин
FMA61708	subdivision of auriculotemporal part of head	Подразделение аурикулотэмпорал часть головка	FMA_aggregate	Нужно сопоставить агрегированный FMA concept с его составом.	FMA / Foundational Model of Anatomy	FMA subdivision of auriculotemporal part of head русский анатомический термин
FMA65020	intrinsic muscle of foot	Интринсик мышца стопа	terminology	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"intrinsic muscle of foot" нормативный русский анатомический термин
FMA65045	intrinsic muscle of dorsum of foot	Интринсик мышца дорсум стопа	terminology	В русском названии сохранён машинный/латинизированный компонент.	authoritative Russian anatomy textbook/atlas	"intrinsic muscle of dorsum of foot" нормативный русский анатомический термин
FMA65046	intrinsic muscle of plantar part of foot	Интринсик мышца подошвенная часть стопа	terminology	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"intrinsic muscle of plantar part of foot" нормативный русский анатомический термин
FMA66562	trunk of thoraco-acromial artery	Туловище торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"trunk of thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA66563	trunk of right thoraco-acromial artery	Туловище правый торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"trunk of right thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA66564	trunk of left thoraco-acromial artery	Туловище левый торако-акромиал артерия	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"trunk of left thoraco-acromial artery" русское анатомическое название артерия вена ветвь
FMA67242	gray matter of neuraxis	Серое вещество нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"gray matter of neuraxis" русская нейроанатомическая терминология
FMA69803	subdivision of anterior division of internal iliac artery	Подразделение передняя дивисион внутренняя подвздошная артерия	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA subdivision of anterior division of internal iliac artery русский анатомический термин
FMA70408	subdivision of thoraco-acromial artery	Подразделение торако-акромиал артерия	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA subdivision of thoraco-acromial artery русский анатомический термин
FMA71309	set of interspinales cervicis	Совокупность интэрспиналэс кэрвикис	FMA_aggregate	Нужно сопоставить агрегированный FMA concept с его составом.	FMA / Foundational Model of Anatomy	FMA set of interspinales cervicis русский анатомический термин
FMA71318	set of lumbricals of hand	Совокупность лумбрикалс кисть	FMA_aggregate	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	FMA set of lumbricals of hand русский анатомический термин
FMA72058	intrinsic ligament of larynx	Интринсик связка гортань	other	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"intrinsic ligament of larynx" нормативный русский анатомический термин
FMA77954	right anterior circumflex humeral vein	Правый передняя огибающая хумэрал вена	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"right anterior circumflex humeral vein" русское анатомическое название артерия вена ветвь
FMA77955	left anterior circumflex humeral vein	Левый передняя огибающая хумэрал вена	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"left anterior circumflex humeral vein" русское анатомическое название артерия вена ветвь
FMA79631	branch of sphenoid part of middle cerebral artery	Ветвь сфэноид часть средняя мозговая артерия	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"branch of sphenoid part of middle cerebral artery" русская нейроанатомическая терминология
FMA83143	cell part cluster of neuraxis	Кэлл часть клустэр нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"cell part cluster of neuraxis" русская нейроанатомическая терминология
FMA83153	organ component of neuraxis	Орган компонент нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"organ component of neuraxis" русская нейроанатомическая терминология
FMA83465	segment of white matter of neuraxis	Сегмент белое вещество нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"segment of white matter of neuraxis" русская нейроанатомическая терминология
FMA83686	nucleus of neuraxis	Ядро нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"nucleus of neuraxis" русская нейроанатомическая терминология
FMA83854	stria of neuraxis	Стриа нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"stria of neuraxis" русская нейроанатомическая терминология
FMA83856	lamina of neuraxis	Пластинка нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"lamina of neuraxis" русская нейроанатомическая терминология
FMA83860	peduncle of neuraxis	Пэдунклэ нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"peduncle of neuraxis" русская нейроанатомическая терминология
FMA83865	fornix of neuraxis	Свод нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"fornix of neuraxis" русская нейроанатомическая терминология
FMA83874	gyrus of neuraxis	Извилина нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"gyrus of neuraxis" русская нейроанатомическая терминология
FMA83904	septum of neuraxis	Перегородка нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"septum of neuraxis" русская нейроанатомическая терминология
FMA83906	commissure of neuraxis	Комиссура нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"commissure of neuraxis" русская нейроанатомическая терминология
FMA83929	white matter of neuraxis	Белое вещество нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"white matter of neuraxis" русская нейроанатомическая терминология
