conceptId	en	current_ru	latin_ta	english_ta	mapping_status	confidence
FMA3710	vascular tree	Сосудистое дерево			NO_MATCH	0.00
FMA3711	segment of artery	Сегмент артерия			NO_MATCH	0.00
FMA3714	variant artery	Вариантная артерия			NO_MATCH	0.00
FMA3726	anastomosis	Анастомоз			NO_MATCH	0.00
FMA3727	vascular anastomosis	Сосудистое анастомоз			NO_MATCH	0.00
FMA3728	arterial anastomosis	Артериальный анастомоз			NO_MATCH	0.00
FMA3729	venous anastomosis	Венозная анастомоз			NO_MATCH	0.00
FMA3736	ascending aorta	Восходящая аорта	aorta ascendens	ascending aorta	EXACT	1.00
FMA3768	arch of aorta	Дуга аорты	arcus aortae	aortic arch	EXACT	1.00
FMA3784	descending aorta	Нисходящая аорта	aorta descendens	descending aorta	EXACT	1.00
FMA3789	abdominal aorta	Брюшная аорта	aorta abdominalis	abdominal aorta	EXACT	1.00
FMA3802	trunk of right coronary artery	Туловище правый коронарная артерия			NO_MATCH	0.00
FMA3807	right conus artery	Правый конус артерия			NO_MATCH	0.00
FMA3813	anterior ventricular branch of right coronary artery	Передняя желудочковая ветвь правой коронарной артерии			NO_MATCH	0.00
FMA3815	first anterior ventricular branch of right coronary artery	Первая передняя желудочковая ветвь правый коронарная артерия			NO_MATCH	0.00
FMA3818	marginal branch of right coronary artery	Краевая ветвь правый коронарная артерия			NO_MATCH	0.00
FMA3835	posterior ventricular branch of right coronary artery	Задняя желудочковая ветвь правый коронарная артерия			NO_MATCH	0.00
FMA3837	first posterior ventricular branch of right coronary artery	Первая задняя желудочковая ветвь правый коронарная артерия			NO_MATCH	0.00
FMA3840	posterior interventricular branch of right coronary artery	Задняя межжелудочковая ветвь правый коронарная артерия	arteria interventricularis inferior	inferior interventricular artery	EXACT	1.00
FMA3845	septal branch of right posterior interventricular artery	Перегородочная ветвь правый задняя межжелудочковая артерия			NO_MATCH	0.00
FMA3847	first septal branch of right posterior interventricular artery	Первая перегородочная ветвь правый задняя межжелудочковая артерия			NO_MATCH	0.00
FMA3848	second septal branch of right posterior interventricular artery	Вторая перегородочная ветвь правый задняя межжелудочковая артерия			NO_MATCH	0.00
FMA3855	trunk of left coronary artery	Туловище левый коронарная артерия			NO_MATCH	0.00
FMA3860	diagonal branch of anterior descending branch of left coronary artery	Диагональная ветвь передняя нисходящая ветвь левый коронарная артерия			NO_MATCH	0.00
FMA3868	conus branch of anterior interventricular branch of left coronary artery	Конус ветвь передняя межжелудочковая ветвь левый коронарная артерия			NO_MATCH	0.00
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	Правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия			NO_MATCH	0.00
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	Первая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия			NO_MATCH	0.00
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery	Вторая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия			NO_MATCH	0.00
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	Третья правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия			NO_MATCH	0.00
FMA3892	septal branch of anterior interventricular artery	Перегородочная ветвь передняя межжелудочковая артерия			NO_MATCH	0.00
FMA3895	circumflex branch of left coronary artery	Огибающая ветвь левый коронарная артерия	arteria circumflexa cordis	circumflex artery of heart	EXACT	1.00
FMA3932	brachiocephalic artery	Плечеголовной ствол			NO_MATCH	0.00
