conceptId	system	en	ru
FMA3789	arterial	Abdominal aorta	
FMA68735	arterial	Accessory subsuperior branch of right posterior basal segmental artery	
FMA23069	arterial	Acromial branch of left thoraco-acromial artery	
FMA23068	arterial	Acromial branch of right thoraco-acromial artery	
FMA68691	arterial	Anterior branch of lateral segmental artery	
FMA68683	arterial	Anterior branch of right anterior segmental artery	
FMA14816	arterial	Anterior cecal artery	
FMA50169	arterial	Anterior communicating artery	
FMA70487	arterial	Anterior division of left renal artery	
FMA70486	arterial	Anterior division of right renal artery	
FMA50544	arterial	anterior inferior cerebellar artery	
FMA70479	arterial	Anterior inferior pancreaticoduodenal artery	
FMA70443	arterial	Anterior inferior segmental hepatic artery	
FMA68665	arterial	Anterior part of right apical segmental artery	
FMA14782	arterial	Anterior superior pancreaticoduodenal artery	
FMA70442	arterial	Anterior superior segmental hepatic artery	
FMA50679	arterial	Anterior temporal branch of left lateral occipital artery	
FMA50678	arterial	Anterior temporal branch of right lateral occipital artery	
FMA50378	arterial	Anterolateral central branch of left middle cerebral artery	
FMA50377	arterial	Anterolateral central branch of right middle cerebral artery	
FMA68662	arterial	Apical part of right apical segmental artery	
FMA68670	arterial	Apical part of right posterior segmental artery	
FMA14818	arterial	Appendicular artery	
FMA3768	arterial	Arch of aorta	
FMA77439	arterial	artery of central sulcus	
FMA50484	arterial	Artery of left postcentral sulcus	
FMA50481	arterial	Artery of left precentral sulcus	
FMA50483	arterial	Artery of right postcentral sulcus	
FMA50480	arterial	Artery of right precentral sulcus	
FMA3736	arterial	Ascending aorta	
FMA14820	arterial	Ascending branch of inferior branch of ileocolic artery	
FMA14828	arterial	Ascending branch of left colic artery	
FMA68723	arterial	Basal branch of right anterior basal segmental artery	
FMA50542	arterial	Basilar artery	
FMA3932	arterial	Brachiocephalic artery	
FMA50147	arterial	Branch of left anterior choroidal artery to posterior limb of left internal capsule	
FMA50477	arterial	Branch of left middle cerebral artery to left angular gyrus	
FMA50146	arterial	Branch of right anterior choroidal artery to posterior limb of right internal capsule	
FMA50476	arterial	Branch of right middle cerebral artery to right angular gyrus	
FMA68109	arterial	Bronchial artery	
FMA14177	arterial	Bronchial branch of arch of aorta	
FMA14793	arterial	Caudal pancreatic artery	
FMA70455	arterial	Caudate lobe branch of left hepatic artery	
FMA70447	arterial	Caudate lobe branch of right hepatic artery	
FMA50737	arterial	Celiac artery	
FMA14812	arterial	Celiac trunk	
FMA3895	arterial	Circumflex branch of left coronary artery	
FMA14771	arterial	Common hepatic artery	
FMA3868	arterial	Conus branch of anterior interventricular branch of left coronary artery	
FMA23073	arterial	Deltoid branch of left thoraco-acromial artery	
FMA23072	arterial	Deltoid branch of right thoraco-acromial artery	
FMA3784	arterial	Descending aorta	
FMA14829	arterial	Descending branch of left colic artery	
FMA21423	arterial	Descending branch of left lateral circumflex femoral artery	
FMA21422	arterial	Descending branch of right lateral circumflex femoral artery	
FMA87217	arterial	Descending thoracic aorta	
FMA3860	arterial	Diagonal branch of anterior descending branch of left coronary artery	
FMA69517	arterial	Distal perforating artery	
FMA22773	arterial	Dorsal carpal branch of left radial artery	
FMA22772	arterial	Dorsal carpal branch of right radial artery	
FMA44660	arterial	Dorsal digital artery of foot	
FMA14787	arterial	Dorsal pancreatic artery	
FMA4149	arterial	Esophageal artery	
FMA3815	arterial	First anterior ventricular branch of right coronary artery	
FMA3837	arterial	First posterior ventricular branch of right coronary artery	
FMA3872	arterial	First right anterior branch of anterior interventricular branch of left coronary artery	
FMA3847	arterial	First septal branch of right posterior interventricular artery	
FMA14792	arterial	Great pancreatic artery	
FMA14772	arterial	Hepatic artery proper	
FMA50429	arterial	Hypothalamic branch of left posterior communicating artery	
FMA50428	arterial	Hypothalamic branch of right posterior communicating artery	
FMA14809	arterial	Ileal artery	
FMA14819	arterial	Ileal branch of inferior branch of ileocolic artery	
FMA14815	arterial	Ileocolic artery	
FMA68694	arterial	Inferior branch of medial segmental artery	
FMA8640	arterial	Inferior lingular artery	
FMA14750	arterial	Inferior mesenteric artery	
FMA14790	arterial	Inferior pancreatic artery	
FMA14805	arterial	Inferior pancreaticoduodenal artery	
FMA86347	arterial	Inferior segmental branch of left renal artery	
FMA86346	arterial	Inferior segmental branch of right renal artery	
FMA50370	arterial	Insular part of left middle cerebral artery	
FMA50369	arterial	Insular part of right middle cerebral artery	
FMA50352	arterial	Intermediomedial branch of left callosomarginal artery	
FMA50351	arterial	Intermediomedial branch of right callosomarginal artery	
FMA50569	arterial	Lateral branch of left pontine artery	
FMA50579	arterial	Lateral branch of left superior cerebellar artery	
FMA68725	arterial	Lateral branch of right anterior basal segmental artery	
FMA68728	arterial	Lateral branch of right lateral basal segmental artery	
FMA50568	arterial	Lateral branch of right pontine artery	
FMA50578	arterial	Lateral branch of right superior cerebellar artery	
FMA68712	arterial	Lateral branch of right superior segmental artery	
FMA70453	arterial	Lateral inferior segmental hepatic artery	
FMA23055	arterial	Lateral proper palmar digital artery of left little finger	
FMA22860	arterial	Lateral proper palmar digital artery of left middle finger	
FMA85116	arterial	Lateral proper palmar digital artery of left ring finger	
FMA23054	arterial	Lateral proper palmar digital artery of right little finger	
FMA22858	arterial	Lateral proper palmar digital artery of right middle finger	
FMA85115	arterial	Lateral proper palmar digital artery of right ring finger	
FMA70452	arterial	Lateral superior segmental hepatic artery	
FMA68738	arterial	Laterobasal branch of right posterior basal segmental artery	
FMA8645	arterial	Left anterior basal segmental artery	
FMA50030	arterial	Left anterior cerebral artery	
FMA50089	arterial	Left anterior choroidal artery	
FMA22683	arterial	Left anterior circumflex humeral artery	
