conceptId	system	en	ru
FMA3710	venous	vascular tree	
FMA3711	arterial	segment of artery	
FMA3714	arterial	variant artery	
FMA3727	arterial	vascular anastomosis	
FMA3729	venous	venous anastomosis	
FMA3784	arterial	descending aorta	
FMA3802	arterial	trunk of right coronary artery	
FMA3807	arterial	right conus artery	
FMA3815	arterial	first anterior ventricular branch of right coronary artery	
FMA3818	arterial	marginal branch of right coronary artery	
FMA3835	arterial	posterior ventricular branch of right coronary artery	
FMA3837	arterial	first posterior ventricular branch of right coronary artery	
FMA3840	arterial	posterior interventricular branch of right coronary artery	
FMA3845	arterial	septal branch of right posterior interventricular artery	
FMA3847	arterial	first septal branch of right posterior interventricular artery	
FMA3848	arterial	second septal branch of right posterior interventricular artery	
FMA3855	arterial	trunk of left coronary artery	
FMA3860	arterial	diagonal branch of anterior descending branch of left coronary artery	
FMA3868	arterial	conus branch of anterior interventricular branch of left coronary artery	
FMA3870	arterial	right anterior branch of anterior interventricular branch of left coronary artery	
FMA3872	arterial	first right anterior branch of anterior interventricular branch of left coronary artery	
FMA3874	arterial	second right anterior branch of anterior interventricular branch of left coronary artery	
FMA3876	arterial	third right anterior branch of anterior interventricular branch of left coronary artery	
FMA3892	arterial	septal branch of anterior interventricular artery	
FMA3895	arterial	circumflex branch of left coronary artery	
FMA3939	arterial	common carotid artery	
FMA3941	arterial	right common carotid artery	
FMA3947	arterial	internal carotid artery	
FMA3949	arterial	right internal carotid artery	
FMA3951	arterial	subclavian artery	
FMA3953	arterial	right subclavian artery	
FMA3956	arterial	vertebral artery	
FMA3958	arterial	right vertebral artery	
FMA3960	arterial	internal thoracic artery	
FMA3969	arterial	right internal thoracic artery	
FMA3988	arterial	right superior epigastric artery	
FMA3990	arterial	thyrocervical trunk	
FMA3992	arterial	right thyrocervical trunk	
FMA3994	arterial	second posterior intercostal artery	
FMA4057	arterial	right dorsal scapular artery	
FMA4058	arterial	left common carotid artery	
FMA4062	arterial	left internal carotid artery	
FMA4066	arterial	left vertebral artery	
FMA4068	arterial	left internal thoracic artery	
FMA4077	arterial	left musculophrenic artery	
FMA4083	arterial	left superior epigastric artery	
FMA4084	arterial	left thyrocervical trunk	
FMA4086	arterial	left costocervical trunk	
FMA4088	arterial	left superior intercostal artery	
FMA4112	arterial	left second posterior intercostal artery	
FMA4134	arterial	left deep cervical artery	
FMA4149	arterial	esophageal artery	
FMA4176	arterial	posterior intercostal artery	
FMA4613	arterial	subcostal artery	
FMA4634	arterial	right subcostal artery	
FMA4654	arterial	left subcostal artery	
FMA4677	arterial	trunk of branch of coronary artery	
FMA4694	arterial	left subclavian artery	
FMA4706	venous	coronary sinus	
FMA4707	venous	great cardiac vein	
FMA4708	venous	left marginal vein	
FMA4712	venous	posterior vein of left ventricle	
FMA4713	venous	middle cardiac vein	
FMA4714	venous	small cardiac vein	
FMA4716	venous	right marginal vein	
FMA4720	venous	superior vena cava	
FMA4724	venous	internal jugular vein	
FMA4725	venous	subclavian vein	
FMA4729	venous	internal thoracic vein	
FMA4731	venous	superior epigastric vein	
FMA4732	venous	musculophrenic vein	
FMA4751	venous	right brachiocephalic vein	
FMA4754	venous	right internal jugular vein	
FMA4755	venous	right subclavian vein	
FMA4758	venous	right internal thoracic vein	
FMA4761	venous	left brachiocephalic vein	
FMA4762	venous	left internal jugular vein	
FMA4763	venous	left subclavian vein	
FMA4771	venous	right superior epigastric vein	
FMA4772	venous	right musculophrenic vein	
FMA4785	venous	left superior epigastric vein	
FMA4786	venous	left musculophrenic vein	
FMA4797	venous	left superior intercostal vein	
FMA4843	venous	right ascending lumbar vein	
FMA4844	venous	right subcostal vein	
FMA4877	venous	right superior intercostal vein	
FMA4944	venous	hemiazygos vein	
FMA4950	venous	left ascending lumbar vein	
FMA4951	venous	left subcostal vein	
FMA5022	muscular	muscle organ	
FMA5039	arterial	right costocervical trunk	
FMA5041	arterial	right second posterior intercostal artery	
FMA5042	arterial	right superior intercostal artery	
FMA5865	nervous	cranial nerve	
FMA5884	nervous	ganglion	
FMA5894	nervous	parasympathetic ganglion	
FMA5895	nervous	cranial parasympathetic ganglion	
FMA5913	nervous	nerve trunk	
FMA6964	nervous	ciliary ganglion	
FMA7041	nervous	short ciliary nerve	
FMA7131	digestive	esophagus	
FMA7145	connective	membrane organ	
FMA7163	integumentary	skin	
FMA7198	digestive	pancreas	
FMA7202	digestive	gallbladder	
FMA7206	digestive	duodenum	
FMA7261	muscular	posterior papillary muscle of right ventricle	
FMA7262	muscular	septal papillary muscle of right ventricle	
FMA7264	muscular	lateral papillary muscle of left ventricle	
FMA7394	respiratory	trachea	
FMA7396	respiratory	left main bronchus	
FMA7405	respiratory	main bronchus	
FMA7409	respiratory	bronchus	
FMA7474	skeletal	long bone	
FMA7475	skeletal	short bone	
FMA7476	skeletal	flat bone	
FMA7477	skeletal	irregular bone	
FMA7478	skeletal	pneumatized bone	
FMA7486	skeletal	manubrium	
FMA7488	skeletal	xiphoid process	
FMA7538	skeletal	cartilage organ component	
FMA7574	skeletal	rib	
FMA7591	skeletal	costal cartilage	
FMA7592	skeletal	true rib	
FMA7593	skeletal	typical rib	
FMA7594	skeletal	false rib	
FMA7595	skeletal	floating rib	
FMA7597	skeletal	first rib	
FMA7603	skeletal	first costal cartilage	
FMA7620	skeletal	second rib	
FMA7638	skeletal	third rib	
FMA7646	sensory	retinaculum	
FMA7703	skeletal	second costal cartilage	
FMA7741	skeletal	third costal cartilage	
FMA7749	skeletal	fourth rib	
FMA7768	skeletal	fourth costal cartilage	
FMA7776	skeletal	fifth rib	
FMA7795	skeletal	fifth costal cartilage	
FMA7822	skeletal	sixth costal cartilage	
FMA7830	skeletal	seventh rib	
FMA7849	skeletal	seventh costal cartilage	
FMA7857	skeletal	right first rib	
FMA7875	skeletal	right first costal cartilage	
FMA7882	skeletal	right second rib	
FMA7886	skeletal	right second costal cartilage	
FMA7909	skeletal	right third rib	
FMA7913	skeletal	right third costal cartilage	
FMA7957	skeletal	right fourth rib	
FMA7976	skeletal	right fourth costal cartilage	
FMA7987	skeletal	left first rib	
FMA8005	skeletal	left first costal cartilage	
FMA8012	skeletal	left second rib	
