conceptId	en	current_ru	problem_types	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA3802	trunk of right coronary artery	Туловище правый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Туловище правой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3815	first anterior ventricular branch of right coronary artery	Первая передняя желудочковая ветвь правый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Первая передняя желудочковая ветвь правой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3818	marginal branch of right coronary artery	Краевая ветвь правый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Краевая ветвь правой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3835	posterior ventricular branch of right coronary artery	Задняя желудочковая ветвь правый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задняя желудочковая ветвь правой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3837	first posterior ventricular branch of right coronary artery	Первая задняя желудочковая ветвь правый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Первая задняя желудочковая ветвь правой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3855	trunk of left coronary artery	Туловище левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Туловище левой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3860	diagonal branch of anterior descending branch of left coronary artery	Диагональная ветвь передняя нисходящая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Диагональная ветвь передняя нисходящая ветвь левой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3868	conus branch of anterior interventricular branch of left coronary artery	Конус ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Конус ветвь передняя межжелудочковая ветвь левой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	Правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	Первая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery	Вторая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	Третья правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA3958	right vertebral artery	Правый позвоночная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria vertebralis	vertebral artery	APPLY	HIGH	Правая позвоночная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4057	right dorsal scapular artery	Правый тыльная лопаточная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria dorsalis scapulae	dorsal scapular artery	APPLY	HIGH	Правая тыльная лопаточная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4066	left vertebral artery	Левый позвоночная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria vertebralis	vertebral artery	APPLY	HIGH	Левая позвоночная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4112	left second posterior intercostal artery	Левый вторая задняя межрёберная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria intercostalis posterior secunda	second posterior intercostal artery	APPLY	HIGH	Левая вторая задняя межрёберная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4134	left deep cervical artery	Левый глубокая шейная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria cervicalis profunda	deep cervical artery	APPLY	HIGH	Левая глубокая шейная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4634	right subcostal artery	Правый подрёберная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria subcostalis	subcostal artery	APPLY	HIGH	Правая подрёберная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4654	left subcostal artery	Левый подрёберная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria subcostalis	subcostal artery	APPLY	HIGH	Левая подрёберная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4708	left marginal vein	Левый краевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая краевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4716	right marginal vein	Правый краевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая краевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4755	right subclavian vein	Правый подключичная вена	LATERALITY|GRAMMAR	PROBABLE	vena subclavia	subclavian vein	APPLY	HIGH	Правая подключичная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA4763	left subclavian vein	Левый подключичная вена	LATERALITY|GRAMMAR	PROBABLE	vena subclavia	subclavian vein	APPLY	HIGH	Левая подключичная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA5041	right second posterior intercostal artery	Правый вторая задняя межрёберная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria intercostalis posterior secunda	second posterior intercostal artery	APPLY	HIGH	Правая вторая задняя межрёберная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA8531	right eleventh rib	Правый одиннадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA8532	left eleventh rib	Левый одиннадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA8533	right twelfth rib	Правый двенадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA8534	left twelfth rib	Левый двенадцатая ребро	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA8634	left apical segmental artery	Левый верхушечная сегментарный артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая верхушечная сегментарный артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
